IPAddress: DESKTOP-NHAT11T,Action: Update thành công - Name: 08704224,6c581f13-2054-4945-a771-74e9af900e75,e61a94ae-7089-4a33-8231-9e62653223c2,29A - 000.57,, - Id: 71c9c97e-2118-429c-b721-ef9287b9cd72,AppCode: Parking,SubSystemCode: tblCard,User: admin,ObjectName: 08704224,6c581f13-2054-4945-a771-74e9af900e75,e61a94ae-7089-4a33-8231-9e62653223c2,29A - 000.57,,, Action: Sửa,Date: 24/09/2020 14:26:44
IPAddress: DESKTOP-NHAT11T,Action: Update thành công - Name: 123123213,78957e8d-aada-44ce-9047-096c4c86ae20,76390fc7-65f6-4b53-ade4-ef1a97012b50,,, - Id: a85b46b3-a79b-4e26-a61f-4d155ebe254d,AppCode: Parking,SubSystemCode: tblCard,User: admin,ObjectName: 123123213,78957e8d-aada-44ce-9047-096c4c86ae20,76390fc7-65f6-4b53-ade4-ef1a97012b50,,,, Action: Sửa,Date: 24/09/2020 15:11:41
IPAddress: DESKTOP-NHAT11T,Action: Update thành công - Name: 123123213,78957e8d-aada-44ce-9047-096c4c86ae20,76390fc7-65f6-4b53-ade4-ef1a97012b50,,, - Id: a85b46b3-a79b-4e26-a61f-4d155ebe254d,AppCode: Parking,SubSystemCode: tblCard,User: admin,ObjectName: 123123213,78957e8d-aada-44ce-9047-096c4c86ae20,76390fc7-65f6-4b53-ade4-ef1a97012b50,,,, Action: Sửa,Date: 24/09/2020 15:49:12
IPAddress: DESKTOP-NHAT11T,Action: Update thành công - Name: 97564,65dd3483-472c-4676-b7aa-1e042787890d,5eafc82f-fe1b-4782-af98-fd1ef58ecd43,,, - Id: 768620c1-5657-4f0e-a4e7-211cd65ef5e6,AppCode: Parking,SubSystemCode: tblCard,User: admin,ObjectName: 97564,65dd3483-472c-4676-b7aa-1e042787890d,5eafc82f-fe1b-4782-af98-fd1ef58ecd43,,,, Action: Sửa,Date: 24/09/2020 16:28:16
IPAddress: DESKTOP-NHAT11T,Action: Update thành công - Name: 97564,65dd3483-472c-4676-b7aa-1e042787890d,5eafc82f-fe1b-4782-af98-fd1ef58ecd43,,, - Id: 768620c1-5657-4f0e-a4e7-211cd65ef5e6,AppCode: Parking,SubSystemCode: tblCard,User: admin,ObjectName: 97564,65dd3483-472c-4676-b7aa-1e042787890d,5eafc82f-fe1b-4782-af98-fd1ef58ecd43,,,, Action: Sửa,Date: 24/09/2020 16:42:00
IPAddress: DESKTOP-NHAT11T,Action: Update thành công - Name: 97564,65dd3483-472c-4676-b7aa-1e042787890d,5eafc82f-fe1b-4782-af98-fd1ef58ecd43,,, - Id: 768620c1-5657-4f0e-a4e7-211cd65ef5e6,AppCode: Parking,SubSystemCode: tblCard,User: admin,ObjectName: 97564,65dd3483-472c-4676-b7aa-1e042787890d,5eafc82f-fe1b-4782-af98-fd1ef58ecd43,,,, Action: Sửa,Date: 24/09/2020 16:52:21
IPAddress: DESKTOP-NHAT11T,Action: Update thành công - Name: 97564,65dd3483-472c-4676-b7aa-1e042787890d,5eafc82f-fe1b-4782-af98-fd1ef58ecd43,,, - Id: 768620c1-5657-4f0e-a4e7-211cd65ef5e6,AppCode: Parking,SubSystemCode: tblCard,User: admin,ObjectName: 97564,65dd3483-472c-4676-b7aa-1e042787890d,5eafc82f-fe1b-4782-af98-fd1ef58ecd43,,,, Action: Sửa,Date: 24/09/2020 17:01:27
IPAddress: DESKTOP-NVPN80N,Action: Update thành công - Name: 112323,a72c35e4-f67f-4155-a5de-0df68c7153f1,2622eab4-2078-4ffd-981d-065e2be0cf3e,,, - Id: dc52086c-f2a0-4ba2-b2f7-328802c9d402,AppCode: Parking,SubSystemCode: tblCard,User: admin,ObjectName: 112323,a72c35e4-f67f-4155-a5de-0df68c7153f1,2622eab4-2078-4ffd-981d-065e2be0cf3e,,,, Action: Sửa,Date: 24/09/2020 21:12:41
IPAddress: DESKTOP-NVPN80N,Action: Update thành công - Name: 112323,a72c35e4-f67f-4155-a5de-0df68c7153f1,2622eab4-2078-4ffd-981d-065e2be0cf3e,,, - Id: dc52086c-f2a0-4ba2-b2f7-328802c9d402,AppCode: Parking,SubSystemCode: tblCard,User: admin,ObjectName: 112323,a72c35e4-f67f-4155-a5de-0df68c7153f1,2622eab4-2078-4ffd-981d-065e2be0cf3e,,,, Action: Sửa,Date: 24/09/2020 22:09:48
IPAddress: DESKTOP-NVPN80N,Action: Update thành công - Name: 112323,a72c35e4-f67f-4155-a5de-0df68c7153f1,2622eab4-2078-4ffd-981d-065e2be0cf3e,,, - Id: dc52086c-f2a0-4ba2-b2f7-328802c9d402,AppCode: Parking,SubSystemCode: tblCard,User: admin,ObjectName: 112323,a72c35e4-f67f-4155-a5de-0df68c7153f1,2622eab4-2078-4ffd-981d-065e2be0cf3e,,,, Action: Sửa,Date: 24/09/2020 22:27:34
